Standard,Khan Academy Exercise Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G7 Skill Plan,,Total time,5.9,hours
7.G.A.1,Explore scale copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/e/explore-scale-copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/v/exploring-scale-copies,2,2,4,,,Total XP,355,
7.G.A.1,Identify scale copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/e/identify-scale-copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/v/identifying-scaled-copies,4,4,8,,,,,
7.G.A.1,Identify scale factor in scale drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/e/scale-factor-in-scale-drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/v/identifying-scale-factors-example,4,2,6,,,,,
7.G.A.1,Interpret scale factor in scale drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/e/interpret-scale-factor-in-scale-drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/v/interpreting-scale-factors-in-drawings,4,2,6,Scale drawings: scale factor word problems,,,,
7.G.A.1,Scale copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/e/scale-copies,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/scale-copies/v/identifying-values-in-scale-drawings,4,4,8,,,,,
7.G.A.1,Scale drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/cc-7th-scale-drawings/e/interpreting-scale-drawings,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/cc-7th-scale-drawings/v/scaled-drawings-worked-examples,4,4,8,Scale drawings: word problems,,,,
7.G.A.1,Relate scale drawings to area,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/cc-7th-scale-drawings/e/relate-scale-drawings-to-area,https://www.khanacademy.org/math/cc-seventh-grade-math/x6b17ba59:scale-drawings/cc-7th-scale-drawings/v/scale-factors-and-area,4,6,10,Perimeter and area: changes in scale,,,,
7.G.A.3,Cross sections of 3D objects (basic),https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-slicing-geometric-shapes/e/slicing-3d-figures,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-slicing-geometric-shapes/v/vertical-slice-of-rectangular-pyramid,2,4,6,Cross sections of three-dimensional figures,,,,
7.G.B.4,Radius and diameter,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/e/radius_diameter_and_circumference,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/v/parts-of-a-circle,7,2,9,,,,,
7.G.B.4,Circumference of a circle,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/e/find-the-radius-or-diameter-of-a-circle-from-the-circumference-or-area,https://www.khanacademy.org/math/grade-7-math-tx/xa876d090ec748f45:circles-and-composite-figures/xa876d090ec748f45:circumference-and-pi/v/relating-diameter-and-circumference,4,7,11,Circumference of circles,,,,
7.G.B.4,Area of a circle,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/e/area_of_a_circle,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/v/area-of-a-circle,7,4,11,Area of circles,,,,
7.G.B.4,Circumference of parts of circles,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/e/circumference-of-parts-of-circles,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/v/partial-circle-area-and-arc-length,4,3,7,"Semicircles: calculate area, perimeter, radius, and diameter",,,,
7.G.B.4,Area of parts of circles,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/e/area-and-circumference-of-parts-of-circles,https://www.khanacademy.org/math/basic-geo/x7fa91416:circles-cylinders-cones-and-spheres/x7fa91416:area-and-circumference-of-fractions-of-circles/v/partial-circle-area-and-arc-length,4,3,7,"Semicircles: calculate area, perimeter, radius, and diameter",,,,
7.G.B.4,Area and circumference of circles challenge,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circ-challenge/e/area-and-circumference-of-circles,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circumference/v/relating-circumference-and-area,4,5,9,Circles: word problems,,,,
7.G.B.6,Shaded areas,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circ-challenge/e/shaded_areas,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-circ-challenge/v/area-of-shaded-region,4,2,6,Area between two shapes,,,,
7.G.B.6,Surface area,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:finding-surface-area/e/surface-areas,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:finding-surface-area/v/surface-area-of-a-box,4,3,7,Surface area of cubes and prisms,,,,
7.G.B.6,Surface area word problems,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:finding-surface-area/e/surface-area-word-problems,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:finding-surface-area/v/surface-area-word-problem-example,4,5,9,Surface area of cubes and prisms,,,,
7.G.B.6,Volume of rectangular prisms,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa/volume-rect-prism/e/volume_1,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa/volume-rect-prism/v/volume-of-a-rectangular-prism-or-box-examples,7,2,9,Volume of cubes and rectangular prisms: word problems,,,,
7.G.B.6,Volume and surface area word problem,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-volume-surface-area/e/volume-and-surface-area-word-problems,"1 - https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-volume-surface-area/v/solid-geometry-volume
2 - https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry/cc-7th-area-volume-surface-area/v/crates-in-boxcar",4,9,8,"Surface area of cubes and prisms, Volume of cubes and rectangular prisms: word problems",,,,
7.SP.A.1,Valid claims,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-population-sampling/e/valid-claims,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-population-sampling/v/reasonable-samples,4,5,9,"Identify representative, random, and biased samples",,,,
7.SP.A.2,Making inferences from random samples,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-population-sampling/e/making-inferences-from-random-samples,,4,,4,Make inferences from multiple samples,,,,
"7.SP.B.3, 7.SP.B.4",Comparing distributions,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-population-sampling/e/comparing-populations,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-population-sampling/v/comparing-swim-times-at-the-olympics,4,4,8,,,,,
"7.SP.B.3, 7.SP.B.4",Frequency tables & dot plots,https://www.khanacademy.org/math/grade-7-math-tx/xa876d090ec748f45:data-representations/xa876d090ec748f45:comparing-distributions/e/estimate-center-using-dot-plots,https://www.khanacademy.org/math/grade-7-math-tx/xa876d090ec748f45:data-representations/xa876d090ec748f45:comparing-distributions/v/frequency-tables-and-dot-plots,4,8,12,,,,,
"7.SP.B.3, 7.SP.B.4",Comparing center and spread,https://www.khanacademy.org/math/grade-7-math-tx/xa876d090ec748f45:data-representations/xa876d090ec748f45:comparing-distributions/e/comparing-distribution,https://www.khanacademy.org/math/grade-7-math-tx/xa876d090ec748f45:data-representations/xa876d090ec748f45:comparing-distributions/v/comparing-swim-times-at-the-olympics,7,4,11,Compare populations using measures of center and spread,,,,
7.SP.C.5,Simple probability,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/e/probability_1,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/v/basic-probability,7,9,16,Probability of simple events and opposite events,,,,
7.SP.C.6,Experimental probability,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/e/finding-probability,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/v/experimental-probability,7,7,14,Experimental probability,,,,
"7.SP.C.5, 7.SP.C.7",Comparing probabilities,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/e/understanding-probability,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics/cc-7th-basic-prob/v/intuitive-sense-of-probabilities,7,9,16,,,,,
