khan standard id,case id
HS-ESS2.D.1,HS-ESS2-4
HS-ESS2.D.1,HS-ESS2-2
HS-LS1.A.1,HS-LS1-1
HS-LS1.A.2,HS-LS1-1
HS-LS1.A.3,HS-LS1-2
HS-LS1.A.4,HS-LS1-3
HS-LS1.C.1,HS-LS1-5
HS-LS1.C.2,HS-LS1-6
HS-LS1.C.3,HS-LS1-6
HS-LS1.C.3,HS-LS1-7
HS-LS1.C.4,HS-LS1-7
HS-LS2.B.1,HS-LS2-3
HS-LS2.B.2,HS-LS2-4
HS-LS2.B.3,HS-LS2-5
HS-LS2.A.1,HS-LS2-1
HS-LS2.A.1,HS-LS2-2
HS-LS2.C.1,HS-LS2-2
HS-LS2.C.1,HS-LS2-6
HS-LS2.C.2,HS-LS2-7
HS-LS2.D.1,HS-LS2-8
HS-LS4.C.4,HS-LS4-5
HS-LS4.D.1,HS-LS2-7
HS-LS4.D.2,HS-LS4-6
HS-LS1.B.1,HS-LS1-4
HS-LS3.A.1,HS-LS3-1
HS-LS3.B.1,HS-LS3-2
HS-LS3.B.2,HS-LS3-2
HS-LS3.B.2,HS-LS3-3
HS-LS4.A.1,HS-LS4-1
HS-LS4.B.1,HS-LS4-2
HS-LS4.B.1,HS-LS4-3
HS-LS4.B.2,HS-LS4-3
HS-LS4.C.1,HS-LS4-2
HS-LS4.C.2,HS-LS4-3
HS-LS4.C.2,HS-LS4-4
HS-LS4.C.3,HS-LS4-3
HS-LS4.C.5,HS-LS4-5
HS-ESS2.D.1,HS-ESS2-2
HS-ESS2.D.2,HS-ESS2-6
HS-ESS2.D.2,HS-ESS2-7
HS-ESS2.D.3,HS-ESS2-6
HS-ESS2.E.1,HS-ESS2-7
HS-ESS3.C.1,HS-ESS3-3
HS-ESS3.C.2,HS-ESS3-4
MS-PS1.A.1,MS-PS1-1
MS-PS1.A.2,MS-PS1-3
MS-PS1.A.3,MS-PS1-4
MS-PS1.A.4,MS-PS1-4
MS-PS1.A.5,MS-PS1-1
MS-PS1.A.6,MS-PS1-4
MS-PS1.B.1,MS-PS1-3
MS-PS3.A.1,MS-PS1-4
MS-PS3.A.2,MS-PS1-4
MS-PS1.B.2,MS-PS1-5
MS-PS1.B.3,MS-PS1-6
MS-PS2.A.1,MS-PS2-1
MS-PS2.A.2,MS-PS2-2
MS-PS2.A.3,MS-PS2-2
MS-PS2.B.1,MS-PS2-3
MS-PS2.B.2,MS-PS2-4
MS-PS2.B.3,MS-PS2-5
MS-PS3.A.3,MS-PS3-3
MS-PS3.A.3,MS-PS3-4
MS-PS3.A.4,MS-PS3-4
MS-PS3.A.5,MS-PS3-5
MS-PS3.B.1,MS-PS3-5
MS-PS3.B.2,MS-PS3-4
MS-PS3.B.3,MS-PS3-3
MS-PS3.C.1,MS-PS3-2
MS-PS4.A.1,MS-PS4-1
MS-PS4.A.2,MS-PS4-2
MS-PS4.B.1,MS-PS4-2
MS-PS4.B.2,MS-PS4-2
MS-PS4.B.3,MS-PS4-2
MS-PS4.B.4,MS-PS4-2
MS-LS1.A.1,MS-LS1-1
MS-LS1.A.2,MS-LS1-2
MS-LS1.A.3,MS-LS1-3
MS-LS1.D.1,MS-LS1-8
MS-LS1.C.1,MS-LS1-6
MS-LS1.C.2,MS-LS1-7
MS-LS2.A.1,MS-LS2-1
MS-LS2.A.2,MS-LS2-1
MS-LS2.A.3,MS-LS2-1
MS-LS2.B.1,MS-LS2-3
MS-LS2.C.1,MS-LS2-4
MS-PS3.D.1,MS-LS1-6
MS-PS3.D.2,MS-LS2-5
MS-LS2.A.4,MS-LS2-2
MS-LS2.C.2,MS-LS2-5
MS-LS4.D.1,MS-LS2-5
MS-LS1.B.1,MS-LS3-2
MS-LS1.B.2,MS-LS3-2
MS-LS1.B.3,MS-LS3-2
MS-LS1.B.4,MS-LS3-2
MS-LS3.A.1,MS-LS3-1
MS-LS3.A.2,MS-LS3-2
MS-LS3.B.1,MS-LS3-2
MS-LS3.B.2,MS-LS3-1
MS-LS4.B.2,MS-LS4-5
MS-LS4.A.1,MS-LS4-1
MS-LS4.A.2,MS-LS4-2
MS-LS4.A.3,MS-LS4-3
MS-LS4.B.1,MS-LS4-4
MS-LS4.C.1,MS-LS4-6
MS-ESS1.A.1,MS-ESS1-1
MS-ESS1.A.2,MS-ESS1-2
MS-ESS1.B.1,MS-ESS1-2
MS-ESS1.B.1,MS-ESS1-3
MS-ESS1.B.2,MS-ESS1-1
MS-ESS1.B.3,MS-ESS1-2
MS-ESS1.C.1,MS-ESS1-4
MS-ESS1.C.2,MS-ESS1-3
MS-ESS2.A.2,MS-ESS2-1
MS-ESS2.B.1,MS-ESS2-3
MS-ESS2.C.5,MS-ESS2-6
MS-ESS2.A.1,MS-ESS2-2
MS-ESS2.C.1,MS-ESS2-2
MS-ESS2.C.3,MS-ESS2-4
MS-ESS3.A.1,MS-ESS3-1
MS-ESS2.C.2,MS-ESS2-4
MS-ESS2.C.4,MS-ESS2-5
MS-ESS2.D.1,MS-ESS2-6
MS-ESS2.D.2,MS-ESS2-5
MS-ESS2.D.3,MS-ESS2-6
MS-ESS3.D.1,MS-ESS3-5
MS-ESS3.B.1,MS-ESS3-2
MS-ESS3.C.1,MS-ESS3-3
MS-ESS3.C.2,MS-ESS3-4

